N,PHRASE_ID,TalkerIndex,Sound,AnimationTriggerTalker1,AnimationTriggerTalker2,AnimationTriggerTalker3,Text_English,Text_Spanish
0,PHRASE_NONE,0,SOUND_NONE,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,,
1,PHRASE_NONSENSE,0,SOUND_MAINCHAR_NONSENSE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,That has no sense!,¡Eso no tiene sentido!
2,PHRASE_NONSENSE_OBSERVE,0,SOUND_MAINCHAR_NONSENSE_OBSERVE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,That has nothing outstanding,No tiene nada del otro mundo
3,PHRASE_NONSENSE_TALK,0,SOUND_MAINCHAR_NONSENSE_TALK,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Nothing to tell,Nada que decir
4,PHRASE_NONSENSE_NOT_THOUGHT,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,I see no reason for doing that,No veo razón para hacer eso
5,PHRASE_NONSENSE_COMBI,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,I don't get it - Too complicated,No lo pillo - Es demasiado complicado
6,PHRASE_ALREADY_COMBI,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,I already thought that,Ya le di una vuelta a aquello
7,PHRASE_GREAT_IDEA_COMBI,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,That is a great idea!,Es una genial idea!
8,PHRASE_DIALOG_REME_INTRO_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Good morning Reme,Buenos días Reme
9,PHRASE_DIALOG_REME_INTRO_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,Be careful! It's just cleaned,Me vas a pisar lo fregado!
10,PHRASE_DIALOG_REME_INTRO_3,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,(Oh... pretty clean),(Limpísimo está)
11,PHRASE_DIALOG_REME_1_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Do you know if WC is usable today?,Sabes si el aseo está usable hoy?
12,PHRASE_DIALOG_REME_1_2,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,It always works. It's you and all the scum living here who think you are highborn,Claro que funciona. Tú y toda la morralla que vivís aquí os pensáis que sois marqueses
13,PHRASE_DIALOG_REME_1_3,1,SOUND_NONE,ANIMATION_TRIGGER_STEADY,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,It's downstairs as always! Be fast. Now there is nobody using it,Está en el piso de abajo como siempre! Sé rápido. Ahora mismo no hay nadie usándolo
14,PHRASE_DIALOG_REME_2_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Well! Have a nice day Reme!,Bueno! Que tengas un florido día Reme!
15,PHRASE_DIALOG_REME_3_TEST,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Dance for me. Reme!,Baila Baila para mí!
16,PHRASE_MEMENTO_FIND_JOB_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,I moved to find a job. It is important to find something as soon as possible,Me trasladé aquí para encontrar trabajo. Es importante encontrar algo tan pronto como sea
17,PHRASE_OBSERVE_HIVE1_AD_BOARD_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,They are offering cooker job in center of city. I don't know how this offer came here. I could try! It's called 'El maño',Se necesita cocinero en el centro de la ciudad. No sé ni cómo este anuncio ha llegado hasta aquí. Se podría intentar! El lugar se llama 'El maño'
18,PHRASE_NOT_EXIT_HIVE1_HALL_1,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,First I need to know WHERE to go,Primero necesitaría saber a dónde voy
19,PHRASE_NOT_EXIT_HIVE1_HALL_2,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,I need to give a good first impression. Cannot go in this way,Debo dar una buena impresión. No puedo ir así
20,PHRASE_TAKE_HIVE1_BASIN_NO_SOAP,0,SOUND_NONE,ANIMATION_TRIGGER_TALK,ANIMATION_TRIGGER_NONE,ANIMATION_TRIGGER_NONE,Self cleaning only with water is a mess,Lavarse solo con agua es una guarrada
